in:fs_0,in:np_0,in:fA_0,in:fB_0,in:fs_1,in:np_1,in:fA_1,in:fB_1,in:fs_2,in:np_2,in:fA_2,in:fB_2,in:fs_3,in:np_3,in:fA_3,in:fB_3,in:fs_4,in:np_4,in:fA_4,in:fB_4,in:fs_5,in:np_5,in:fA_5,in:fB_5,in:fs_6,in:np_6,in:fA_6,in:fB_6,in:fs_7,in:np_7,in:fA_7,in:fB_7,in:fs_8,in:np_8,in:fA_8,in:fB_8,in:fs_9,in:np_9,in:fA_9,in:fB_9,in:fs_10,in:np_10,in:fA_10,in:fB_10,in:fs_11,in:np_11,in:fA_11,in:fB_11,in:fs_12,in:np_12,in:fA_12,in:fB_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.09,0.92,0.34,0,0.69,0,0,0,0.63,0,0,0,0.5,0,0,0,0.09,0.53,0.4,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.87,1.7,10.98,0,Frame_00000.png
0.41,0.96,0.1,0,0.65,0,0,0,0.3,0,0,0,0.42,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.9,0.5,12.49,1,Frame_00001.png
0.25,0.95,0.1,0,0.07,0,0,0,0.19,0,0,0,0.92,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.91,0.5,12.49,2,Frame_00002.png
0.95,0,0,0,0.2,0.87,0.9,0,0.96,0,0,0,0.64,0,0,0,0.44,0.79,0.44,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.79,1.44,10.77,3,Frame_00003.png
0.11,0.57,0.62,0,0.67,0,0,0,0.81,0,0,0,0.63,0,0,0,0.41,0.17,0.29,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.69,1.45,11.53,4,Frame_00004.png
0.05,0.93,0.01,0,0.2,0.61,0.27,0,0.34,0,0,0,0.89,0,0,0,0.22,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,3,11.69,0.05,12.96,5,Frame_00005.png
0.95,0,0,0,0.2,0.5,0.94,0,0.59,0.31,0.05,0,0.77,0,0,0,0.58,0,0,0,0.4,0.55,0.92,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.5,0,0,2.14,11.58,0.25,9.65,6,Frame_00006.png
0.22,0.88,0.16,0,0.72,0,0,0,0.75,0,0,0,0.39,0.13,-0.01,0,0.02,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,3,11.81,0.05,12.96,7,Frame_00007.png
0.12,0.46,0.4,0,0.69,0,0,0,0.87,0,0,0,0.19,0.32,-0.04,0,0.07,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.2,0,0,3,11.69,0.2,12.96,8,Frame_00008.png
0.22,0.46,0.26,0,0.21,0.81,-0.03,0,0.38,0,0,0,0.48,0,0,0,0.86,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.6,0,0,3,11.69,0.15,12.96,9,Frame_00009.png
0.1,0.44,0.07,0,0.71,0,0,0,0.1,0.18,-0.04,0,0.01,0.05,-0.02,0,0.54,0,0,0,0.76,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.2,0,0,3,11.8,0.1,13.06,10,Frame_00010.png
0.23,0.22,0.64,0,1,0,0,0,0.33,0.29,-0.12,0,0.89,0,0,0,0.35,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,3,11.69,0.6,12.96,11,Frame_00011.png
0.37,0.45,-0.03,0,0.22,0,0,0,0.49,0,0,0,0.21,0.94,-0.11,0,0.76,0.28,0.41,0,0.54,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.8,0,0,2.11,11.86,0.15,11.06,12,Frame_00012.png
0.14,0.32,-0.1,0,0.07,0.38,0.08,0,0.37,0,0,0,0.47,0,0,0,0.29,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,2.2,11.69,0.4,12.96,13,Frame_00013.png
0.11,0.22,0.18,0,0.14,0.21,-0.19,0,0.81,0,0,0,0.54,0,0,0,0.95,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,3,11.69,0.9,12.96,14,Frame_00014.png
0.02,0.12,0.06,0,0.83,0,0,0,0.65,0,0,0,0.03,0.03,0.04,0,0.93,0,0,0,0.66,0.53,-0.17,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.4,0,0,3,11.95,0.2,12.96,15,Frame_00015.png
1,0,0,0,0.5,0.58,-0.11,0,0.32,0,0,0,0.17,0.78,0.28,0,0.1,0.24,-0.06,0,0.57,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.9,0,0,2.1,11.5,0.3,9.91,16,Frame_00016.png
0.16,0.96,0.84,0,0.95,0,0,0,0.75,0,0,0,0.08,0.09,-0.29,0,0.9,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.6,0,0,2.9,11.94,1.45,12.96,17,Frame_00017.png
0.97,0,0,0,0.45,0.89,0.17,0,0.44,0.34,-0.26,0,0.43,0,0,0,0.49,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.8,0,0,2.28,11.73,0.85,12.16,18,Frame_00018.png
0.11,0.59,-0.19,0,0.61,0,0,0,0.65,0,0,0,0.51,0,0,0,0.09,0,-0.03,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584.1,0,0,3,12,0.15,13.11,19,Frame_00019.png
0.15,0.01,-0.05,0,0.97,0,0,0,0.16,0.05,-0.34,0,0.72,0,0,0,0.59,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584.9,0,0,2.5,11.98,0.25,12.96,20,Frame_00020.png
0.22,0.08,-0.25,0,0.71,0,0,0,0.63,0,0,0,0.89,0.63,0.33,0,0.21,0.38,0.02,0,0.09,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.2,0,0,3,11.87,0.1,11.34,21,Frame_00021.png
0.17,0.64,0.34,0,0.62,0,0,0,0.78,0,0,0,0.36,0.84,0.7,0,0.82,0,0,0,0.28,0.3,0.67,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.1,0,0,2.66,11.42,1.61,11.21,22,Frame_00022.png
0.15,0.76,0.98,0,0.63,0,0,0,0.14,0.17,-0.69,0,0.96,0,0,0,0.86,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.9,0,0,2.66,11.69,1.39,12.96,23,Frame_00023.png
0.17,0.72,0.06,0,0.99,0,0,0,1,0,0,0,0.88,0,0,0,0.32,0.28,-0.33,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.1,0,0,3,11.69,0.3,14.6,24,Frame_00024.png
0.21,0.01,0.06,0,0.12,0.08,-0.65,0,0.85,0,0,0,0.63,0,0,0,0.85,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.1,0,0,2.72,11.98,0.3,12.96,25,Frame_00025.png
0.63,0.93,-0.3,0,0.09,0,0,0,0.15,0.47,0.2,0,0.81,0,0,0,0.02,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,2.64,11.82,1,9.65,26,Frame_00026.png
0.16,0.24,0.58,0,0.72,0,0,0,0.88,0,0,0,0.08,0.16,-0.75,0,0.86,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,2.58,11.69,2.32,12.96,27,Frame_00027.png
0.98,0,0,0,0.33,0.78,-0.19,0,0.51,0,0,0,0,0.26,-0.33,0,0.15,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.9,0,0,3,11.69,0.95,12.96,28,Frame_00028.png
0.31,0.67,-0.1,0,0.62,0,0,0,0.34,0,0,0,0.24,0.07,-0.44,0,0.86,0,0,0,0.21,0.78,0.14,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,2.7,11.23,0.5,13.42,29,Frame_00029.png
0.16,0.61,-0.41,0,0.98,0,0,0,0.08,0.27,0.02,0,0.51,0,0,0,0.49,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.8,0,0,3,11.69,0.1,12.96,30,Frame_00030.png
0.44,0.83,-0.41,0,0.08,0,0,0,0.44,0,0,0,0.67,0,0,0,0.22,0.9,0.8,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,3,11.7,2.05,9.65,31,Frame_00031.png
0.96,0,0,0,0.95,0,0,0,0.26,0.82,0.37,0,0.88,0,0,0,0.42,0.15,-0.94,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.4,0,0,2.89,11.71,1.85,12.96,32,Frame_00032.png
0.17,0.34,-0.21,0,0,0.17,-0.54,0,0.78,0,0,0,0.63,0,0,0,0.38,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.9,0,0,3,11.69,1.05,12.96,33,Frame_00033.png
0.13,0.26,-0.48,0,0.67,0,0,0,0.73,0,0,0,0.36,0.14,0.04,0,0.9,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615.1,0,0,2.33,11.74,0.2,12.96,34,Frame_00034.png
0.22,0.67,-0.55,0,0.97,0,0,0,0.78,0,0,0,0.72,0,0,0,0.41,0.93,0.65,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.7,0,0,2.02,11.69,2.75,11.26,35,Frame_00035.png
0.11,0,-0.51,0,0.61,0,0,0,0.61,0,0,0,0.35,0.86,0.32,0,0.05,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.7,0,0,2.61,12,1.6,11.37,36,Frame_00036.png
0.51,0.76,-0.32,0,0.67,0,0,0,0,0.3,-0.39,0,0.64,0,0,0,0.96,0,0,0,0.88,0.95,0.88,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.1,0,0,2.55,11.7,1.6,10.13,37,Frame_00037.png
0.98,0,0,0,0.94,0,0,0,0.76,0.6,0.41,0,0.59,0.73,-0.63,0,0.6,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.5,0,0,2.27,11.69,2.05,13.26,38,Frame_00038.png
0.36,0.23,-0.09,0,0.14,0,0,0,0.57,0.12,-0.34,0,0.46,0,0,0,0.9,0,0,0,0.45,0.29,-0.18,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.8,0,0,2.46,11.66,0.45,14.23,39,Frame_00039.png
0.14,0.91,-0.62,0,0.16,0.42,0.01,0,0.81,0,0,0,0.86,0,0,0,0.5,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.1,0,0,3,11.85,0.05,12.96,40,Frame_00040.png
0.18,0.68,-0.6,0,0.99,0,0,0,0.89,0,0,0,0.9,0,0,0,0.49,0.08,0.48,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.1,0,0,3,11.69,2.4,11.5,41,Frame_00041.png
0.1,0.06,-0.28,0,0.94,0,0,0,0.43,0.55,-0.06,0,0.12,0.64,-0.5,0,0.99,0,0,0,0.07,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626.4,0,0,2.19,11.91,0.3,12.96,42,Frame_00042.png
0.13,0.78,-0.13,0,0.01,0.16,-0.97,0,0.83,0,0,0,0.67,0,0,0,0.37,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.2,0,0,2.72,11.96,0.65,12.96,43,Frame_00043.png
0.13,0.92,-0.23,0,0.71,0,0,0,0.76,0,0,0,0.17,0.24,-0.95,0,0.95,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.6,0,0,3,11.87,1.15,12.96,44,Frame_00044.png
0.49,0.7,0.14,0,0.37,0.36,-0.76,0,0.95,0,0,0,0.3,0,0,0,0.89,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.7,0,0,2.41,11.29,0.7,12.32,45,Frame_00045.png
1,0,0,0,0.93,0,0,0,0.1,0.87,0.2,0,0.7,0,0,0,0.7,0,0,0,0.98,0.55,-0.18,-0.75,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.3,0,0,2.49,11.92,0.9,12.96,46,Frame_00046.png
0.15,0.63,-0.23,0,0.17,0.02,-0.98,0,0.85,0,0,0,0.69,0,0,0,0.64,0,0,0,0.82,0.8,0.78,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.3,0,0,2.18,11.49,1.15,12.96,47,Frame_00047.png
0.99,0,0,0,0.38,0.17,-0.64,0,0.44,0,0,0,0.38,0.3,0.99,0,0.9,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.6,0,0,3,11.73,3.2,11.69,48,Frame_00048.png
0.11,0.36,-0.72,0,0.1,0.25,0.05,0,0.76,0,0,0,0.72,0,0,0,0.68,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.8,0,0,2.52,11.69,0.25,12.96,49,Frame_00049.png
0.1,0.59,-0.7,0,0.15,0.63,-0.06,0,0.82,0,0,0,0.41,0,0,0,0.58,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.4,0,0,3,11.69,0.3,12.96,50,Frame_00050.png
0.14,0.94,-0.79,0,0.97,0,0,0,0.81,0,0,0,0.7,0,0,0,0.36,0.31,0.13,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.7,0,0,3,11.9,0.65,12.45,51,Frame_00051.png
0.44,0.8,-0.04,0,0.33,0,0,0,0.02,0.89,0.12,0,0.99,0,0,0,0.11,0,0,0,0.46,0.36,-0.77,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643.2,0,0,2.93,11.51,0.2,13.29,52,Frame_00052.png
0.98,0,0,0,0.76,0.64,-0.29,0,0.44,0,0,0,0.95,0,0,0,0.04,0.63,-0.74,0,0.1,0.42,0.78,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.2,0,0,2.17,11.16,1.45,12.23,53,Frame_00053.png
0.19,0.95,-0.61,0,0.94,0,0,0,0.26,0.29,-0.45,0,0.81,0,0,0,0.73,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.4,0,0,3,11.92,2.25,12.96,54,Frame_00054.png
0.2,0.39,-0.18,0,0.1,0.24,0.01,0,0.74,0,0,0,0.02,0.55,0.15,0,0.28,0,0,0,0.02,0,0,0,0.81,0.6,-0.97,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646.4,0,0,2.19,11.39,0.05,17.73,55,Frame_00055.png
0.98,0,0,0,0.46,0.35,-0.12,0,0.12,0,0,0,0.23,0.79,-0.31,0,0.12,0.35,-0.58,0,0.92,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.6,0,0,3,10.72,0.6,13.48,56,Frame_00056.png
0.2,0.38,-0.78,0,0.62,0,0,0,0.62,0,0,0,0.6,0,0,0,0,0.11,0.17,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.5,0,0,3,11.69,0.85,12.38,57,Frame_00057.png
0.13,0.43,-0.75,0,0.98,0,0,0,0.17,0.11,-0.17,0,0.9,0,0,0,0.45,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.6,0,0,3,11.69,0.85,12.96,58,Frame_00058.png
0.16,0.38,-0.83,0,0.97,0,0,0,0.9,0,0,0,0.8,0,0,0,0.44,0.42,0.02,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.2,0,0,3,11.69,0.1,12.86,59,Frame_00059.png
0.29,0.78,-0.17,0,0.21,0,0,0,0.08,0.16,-0.24,0,0.16,0.81,-0.52,0,0.41,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.2,0,0,3.22,11.65,0.85,13.76,60,Frame_00060.png
0.98,0,0,0,0.37,0.41,-0.88,0,0.54,0,0,0,0.02,0.69,0.15,0,0.25,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.5,0,0,2.24,11.69,0.75,12.96,61,Frame_00061.png
0.15,0,-0.63,0,0.97,0,0,0,0.81,0,0,0,0.01,0.12,-0.54,0,0.01,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.8,0,0,3,12,2.7,12.96,62,Frame_00062.png
0.22,0.25,-0.73,0,0.69,0,0,0,0.71,0,0,0,0.4,0.72,-0.3,0,0.07,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666.1,0,0,3,11.69,1.5,14.46,63,Frame_00063.png
0.16,0.93,-0.97,0,0.04,0.05,-0.12,0,0.84,0,0,0,0.61,0,0,0,0.75,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,2.45,11.89,0.6,13.61,64,Frame_00064.png
0.1,0.71,-0.99,0,0.68,0,0,0,0.03,0.8,-0.07,0,0.6,0,0,0,0.13,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.6,0,0,3,11.69,0.35,13.73,65,Frame_00065.png
0.96,0,0,0,1,0,0,0,0.62,0.61,-0.43,0,0.13,0.1,0.94,0,0.11,0,0,0,0.12,0.85,-0.68,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675.3,0,0,3,11.96,1.27,15.1,66,Frame_00066.png
0.13,0.41,-0.89,0,0.11,0.45,-0.2,0,0.75,0,0,0,0.92,0,0,0,0.51,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675.9,0,0,3,11.69,1,13.71,67,Frame_00067.png
0.2,0.24,-0.49,0,0.01,0.33,-0.98,0,0.82,0,0,0,0.46,0,0,0,0.43,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.2,0,0,2.36,11.69,2.45,14.87,68,Frame_00068.png
0.21,0.4,-0.9,0,0.7,0,0,0,0.61,0,0,0,0.02,0.74,-0.22,0,0.26,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.6,0,0,3,11.69,1.1,13.93,69,Frame_00069.png
0.09,0.09,-0.83,0,0.67,0,0,0,0.07,0.56,-0.42,0,0.57,0,0,0,0.9,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.5,0,0,3,11.86,2.1,14.37,70,Frame_00070.png
0.21,0.92,-0.88,0,0.94,0,0,0,0.84,0,0,0,0.03,0.19,-0.83,0,0.98,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.7,0,0,3,11.87,4.15,12.96,71,Frame_00071.png
0.16,0.73,-0.52,0,0.67,0,0,0,0.78,0,0,0,0.42,0.7,0.64,0,0.14,0,0,0,0.4,0.36,0.44,0,0.64,0.18,-0.87,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.9,0,0,2.35,11.77,2.2,11.11,72,Frame_00072.png
